epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1296.81,2.78289,8.04931,2.77998,0.00041,0.09091,0.00323,0.00072,2.74257,7.30643,2.68548,0.000301269,0.000301269,0.000301269
2,2573.14,2.5561,6.88989,2.47616,0.83997,0.00842,0.0027,0.00065,2.46969,6.17717,2.9017,0.000592304,0.000592304,0.000592304
3,3843.5,2.41831,6.33517,2.40944,0.84336,0.02189,0.0039,0.00113,2.41076,6.11294,2.57137,0.000871341,0.000871341,0.000871341
4,5102.09,2.39192,5.47178,2.40043,0.84456,0.00673,0.00349,0.00115,2.33068,5.23735,2.54684,0.000855005,0.000855005,0.000855005
5,6379.67,2.33318,4.91325,2.37749,0.00822,0.33636,0.02245,0.00525,2.37314,4.99588,2.47472,0.000837007,0.000837007,0.000837007
6,7641.22,2.32277,4.53639,2.34684,0.18173,0.01515,0.00612,0.00217,2.32496,4.52363,2.56656,0.000819009,0.000819009,0.000819009
7,2161.14,2.34701,4.33925,2.44728,0.85185,0.01347,0.01311,0.00422,2.38503,4.22673,2.63193,0.000801011,0.000801011,0.000801011
8,3565.81,2.25852,4.19884,2.3544,0.18491,0.01684,0.00968,0.00302,2.32297,4.20127,2.54558,0.000783013,0.000783013,0.000783013
9,4961.3,2.20983,4.05684,2.29164,0.19574,0.01347,0.00795,0.00201,2.29477,4.09584,2.4593,0.000765014,0.000765014,0.000765014
10,6316.17,2.22202,3.82597,2.31741,0.35592,0.00842,0.00804,0.00248,2.34066,4.28603,2.58315,0.000747016,0.000747016,0.000747016
11,7685.76,2.19635,3.72317,2.31411,0.36666,0.0101,0.01046,0.00331,2.23669,4.11939,2.47336,0.000729018,0.000729018,0.000729018
12,9048.4,2.18163,3.64779,2.25236,0.35511,0.01569,0.01019,0.00362,2.34622,3.99162,2.59096,0.00071102,0.00071102,0.00071102
13,10414.1,2.2203,3.66158,2.32887,0.35461,0.01347,0.0081,0.00264,2.28377,3.97255,2.58508,0.000693022,0.000693022,0.000693022
14,11777,2.15459,3.63802,2.30308,0.68424,0.01178,0.00852,0.00262,2.27649,3.97232,2.60832,0.000675023,0.000675023,0.000675023
15,13126.8,2.15584,3.64017,2.24146,0.67942,0.00673,0.00676,0.00207,2.29395,4.0036,2.54817,0.000657025,0.000657025,0.000657025
16,14479,2.223,3.57127,2.33166,0.86302,0.01515,0.00894,0.00233,2.36416,3.95732,2.64459,0.000639027,0.000639027,0.000639027
17,15817.4,2.171,3.58511,2.27771,0.1952,0.01347,0.00875,0.0026,2.27875,3.81955,2.47557,0.000621029,0.000621029,0.000621029
18,17183,2.1215,3.4815,2.24675,0.85194,0.0202,0.00945,0.00289,2.29244,3.87528,2.48933,0.000603031,0.000603031,0.000603031
19,18523.1,2.15875,3.45747,2.22946,0.5224,0.01852,0.00902,0.00272,2.31123,3.77607,2.49745,0.000585032,0.000585032,0.000585032
20,19871.4,2.16202,3.42725,2.2428,0.35898,0.0202,0.00933,0.00245,2.29395,3.84367,2.6082,0.000567034,0.000567034,0.000567034
21,21214.8,2.12655,3.4679,2.23485,0.37156,0.01515,0.00919,0.00268,2.27241,3.85672,2.53,0.000549036,0.000549036,0.000549036
22,22577.5,2.06656,3.30189,2.18517,0.53096,0.01178,0.00903,0.00272,2.32252,3.80851,2.55285,0.000531038,0.000531038,0.000531038
23,23965.4,2.08231,3.30346,2.17736,0.85915,0.01852,0.00908,0.0026,2.33578,3.8281,2.58048,0.00051304,0.00051304,0.00051304
24,25316.5,2.0443,3.21232,2.16946,0.86201,0.0202,0.0093,0.00296,2.30609,3.851,2.56312,0.000495041,0.000495041,0.000495041
25,26678.6,2.03797,3.15375,2.14083,0.87161,0.01684,0.01012,0.0026,2.31913,3.82126,2.60454,0.000477043,0.000477043,0.000477043
26,28043,2.03833,3.17973,2.15782,0.69196,0.0202,0.00821,0.00252,2.25773,3.91242,2.57286,0.000459045,0.000459045,0.000459045
27,29406.9,2.00453,3.0615,2.1195,0.87882,0.01347,0.01094,0.0031,2.32564,3.83586,2.61664,0.000441047,0.000441047,0.000441047
28,30751.9,2.03652,3.09216,2.13139,0.68798,0.02357,0.00912,0.00294,2.32754,3.84905,2.53234,0.000423049,0.000423049,0.000423049
29,32093.3,1.98508,3.08743,2.1144,0.68596,0.02694,0.00981,0.00319,2.30248,3.82765,2.55756,0.00040505,0.00040505,0.00040505
30,33438.1,2.00077,3.13227,2.14343,0.84775,0.01684,0.00718,0.00195,2.32261,3.87876,2.62825,0.000387052,0.000387052,0.000387052
31,34799.9,1.97488,3.08554,2.08897,0.85582,0.01852,0.01216,0.00273,2.35046,3.77283,2.6171,0.000369054,0.000369054,0.000369054
