epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.851,2.62658,4.47241,2.83322,0.14901,0.06803,0.00395,0.00098,2.79027,69.8727,3.19298,0.0701754,0.00331384,0.00331384
2,336.767,2.53237,3.85097,2.70537,0.14362,0.0738,0.00057,0.00018,2.8162,29.7839,3.01247,0.0400109,0.00648266,0.00648266
3,504.054,2.4433,3.75193,2.76075,0.72486,0.01299,0.0068,0.00148,2.59252,5.98144,3.00087,0.0096814,0.00948647,0.00948647
4,669.473,2.37385,3.72334,2.76464,0.44156,0.01935,0.0083,0.00206,2.4441,4.20161,2.87017,0.0092575,0.0092575,0.0092575
5,837.253,2.34476,3.71478,2.73578,0.6066,0.00866,0.00975,0.00247,2.51065,3.60811,2.8402,0.00901,0.00901,0.00901
6,1002.71,2.31742,3.64893,2.72877,0.58485,0.01443,0.00517,0.00157,2.4482,4.04417,2.85406,0.0087625,0.0087625,0.0087625
7,1174.9,2.28014,3.55717,2.65877,0.44367,0.01154,0.00767,0.00193,2.44372,3.75056,2.83488,0.008515,0.008515,0.008515
8,1343.44,2.24591,3.52829,2.66776,0.44152,0.01299,0.00615,0.00167,2.41503,4.3236,2.81844,0.0082675,0.0082675,0.0082675
9,1514.57,2.27067,3.48273,2.6744,0.29591,0.02889,0.01071,0.00252,2.43049,3.85395,2.83835,0.00802,0.00802,0.00802
10,1686.06,2.20907,3.53407,2.67978,0.58612,0.00722,0.00449,0.00101,2.47205,3.85594,2.7985,0.0077725,0.0077725,0.0077725
11,1858.11,2.21345,3.47831,2.62153,0.73574,0.01154,0.00726,0.00184,2.41958,3.65336,2.81786,0.007525,0.007525,0.007525
12,2029.57,2.19691,3.43348,2.61696,0.59835,0.01443,0.00917,0.00267,2.40856,3.67991,2.74192,0.0072775,0.0072775,0.0072775
13,2199.51,2.18972,3.40845,2.62413,0.73293,0.0101,0.00723,0.00228,2.35246,3.56123,2.78531,0.00703,0.00703,0.00703
14,2372.16,2.19256,3.44869,2.65285,0.44403,0.01443,0.00791,0.00198,2.36645,3.58519,2.78943,0.0067825,0.0067825,0.0067825
15,2543.18,2.15019,3.35038,2.64097,0.75308,0.01154,0.00822,0.00254,2.39242,3.73251,2.77925,0.006535,0.006535,0.006535
16,2713.06,2.17665,3.30093,2.6381,0.73494,0.01443,0.00783,0.00252,2.39862,3.73056,2.78734,0.0062875,0.0062875,0.0062875
17,2884.22,2.13429,3.27932,2.59927,0.73817,0.01876,0.01329,0.00416,2.36094,3.54319,2.78795,0.00604,0.00604,0.00604
18,3053.55,2.10065,3.32553,2.58273,0.58934,0.01154,0.00599,0.00169,2.37981,3.68873,2.79944,0.0057925,0.0057925,0.0057925
19,3218.07,2.13979,3.28181,2.57072,0.6004,0.01443,0.0077,0.00248,2.34701,3.64347,2.7384,0.005545,0.005545,0.005545
20,3387.04,2.09592,3.22398,2.54552,0.72683,0.00866,0.00641,0.0019,2.3709,3.65509,2.76669,0.0052975,0.0052975,0.0052975
21,3566.87,2.08778,3.17765,2.52853,0.7298,0.0202,0.00918,0.00279,2.34217,3.65771,2.76342,0.00505,0.00505,0.00505
22,3742.37,2.078,3.14259,2.53273,0.45126,0.0101,0.00908,0.0035,2.38969,3.68433,2.7905,0.0048025,0.0048025,0.0048025
