epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5025,2.38044,6.15164,2.7462,0.86828,0.0119,0.00464,0.00137,2.47557,3.7384,3.31016,0.000301218,0.000301218,0.000301218
2,91.5073,2.16283,5.40771,2.63608,0.85881,0.08333,0.00553,0.00156,2.27016,3.57864,3.04793,0.000592254,0.000592254,0.000592254
3,135.036,2.06765,4.92495,2.56502,0.86837,0.02827,0.00808,0.00227,2.2596,3.3996,3.00442,0.000871292,0.000871292,0.000871292
4,181.585,2.0651,4.55264,2.5319,0.8733,0.02976,0.00901,0.00274,2.22258,3.42932,2.92682,0.000855005,0.000855005,0.000855005
5,225.748,1.97582,4.24478,2.503,0.86814,0.03423,0.0102,0.00363,2.24595,3.62096,3.08089,0.000837007,0.000837007,0.000837007
6,269.271,1.96582,4.03317,2.49606,0.87128,0.02232,0.00872,0.00287,2.24792,3.48065,3.03922,0.000819009,0.000819009,0.000819009
7,313.392,1.95649,3.86385,2.49123,0.87748,0.0253,0.01088,0.00386,2.18135,4.10578,3.01028,0.000801011,0.000801011,0.000801011
8,356.678,1.93125,3.74449,2.51545,0.30138,0.02381,0.01066,0.00311,2.22855,3.50605,3.05868,0.000783013,0.000783013,0.000783013
9,399.319,1.92661,3.71128,2.48545,0.29673,0.01488,0.00915,0.00279,2.19997,3.23389,2.99063,0.000765014,0.000765014,0.000765014
10,442.119,1.95084,3.54153,2.51314,0.58915,0.02381,0.00933,0.00301,2.12412,3.31975,2.9475,0.000747016,0.000747016,0.000747016
11,489.036,1.9038,3.49749,2.42715,0.44429,0.0253,0.00933,0.00291,2.14713,3.47069,2.93063,0.000729018,0.000729018,0.000729018
12,534.829,1.855,3.42029,2.43653,0.16126,0.03423,0.01302,0.00398,2.21331,3.32889,2.97754,0.00071102,0.00071102,0.00071102
13,577.676,1.87747,3.3929,2.44666,0.45399,0.02679,0.01488,0.00548,2.17576,3.60363,2.9581,0.000693022,0.000693022,0.000693022
14,620.899,1.85424,3.37871,2.40908,0.45025,0.03274,0.01458,0.00532,2.17668,3.16366,2.9152,0.000675023,0.000675023,0.000675023
15,663.768,1.81256,3.34034,2.38058,0.59024,0.01935,0.01372,0.00479,2.27448,3.29233,3.08387,0.000657025,0.000657025,0.000657025
16,707.967,1.85369,3.33765,2.39255,0.87822,0.02083,0.01359,0.00473,2.15782,3.23129,2.88111,0.000639027,0.000639027,0.000639027
17,752.455,1.82272,3.25596,2.38457,0.87666,0.02381,0.01342,0.00388,2.327,3.46046,3.06237,0.000621029,0.000621029,0.000621029
18,795.897,1.84031,3.25569,2.39977,0.87291,0.02976,0.01098,0.00389,2.15067,3.45326,2.8572,0.000603031,0.000603031,0.000603031
