epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1291,2.62856,8.36681,1.85002,0.4494,0.02591,0.01594,0.00597,2.90459,9.50202,2.02097,0.0668793,1.65686e-05,1.65686e-05
2,94.3207,2.53427,8.10702,1.80973,0.457,0.04018,0.02436,0.00853,2.83561,8.98555,1.93621,0.0335625,3.30708e-05,3.30708e-05
3,140.054,2.5317,7.76245,1.79126,0.45719,0.0372,0.02753,0.00921,2.82661,8.77664,1.94526,0.000245486,4.94079e-05,4.94079e-05
1,48.6524,2.67058,8.58921,1.83016,0.59425,0.03072,0.02123,0.00719,2.95373,8.99506,1.95838,0.0668793,1.65686e-05,1.65686e-05
2,93.5641,2.59365,8.17698,1.79551,0.46239,0.04762,0.02578,0.00836,2.84268,8.85465,1.90943,0.0335625,3.30708e-05,3.30708e-05
3,138.785,2.58127,8.02229,1.7845,0.60295,0.0384,0.02923,0.00988,2.83009,8.58856,1.9071,0.000245486,4.94079e-05,4.94079e-05
4,183.678,2.55417,7.89296,1.77706,0.60514,0.0465,0.02816,0.00913,2.85516,8.53579,1.92374,4.92575e-05,4.92575e-05,4.92575e-05
5,228.331,2.55753,7.77235,1.77429,0.60329,0.03687,0.02742,0.0096,2.8543,8.63141,1.92078,4.901e-05,4.901e-05,4.901e-05
6,273.07,2.57665,7.65753,1.77145,0.59831,0.03687,0.0248,0.00808,2.82252,8.70233,1.92057,4.87625e-05,4.87625e-05,4.87625e-05
7,318.108,2.53106,7.58066,1.75798,0.5998,0.04608,0.0257,0.00885,2.80043,8.57748,1.9211,4.8515e-05,4.8515e-05,4.8515e-05
8,363.128,2.53138,7.58113,1.75732,0.60615,0.05376,0.0255,0.0089,2.81869,8.51244,1.92192,4.82675e-05,4.82675e-05,4.82675e-05
9,408.419,2.52081,7.53697,1.74787,0.60274,0.04916,0.02335,0.00865,2.79768,8.62472,1.90802,4.802e-05,4.802e-05,4.802e-05
10,453.933,2.53551,7.46893,1.75181,0.59888,0.05684,0.02466,0.00821,2.82401,8.71514,1.90761,4.77725e-05,4.77725e-05,4.77725e-05
11,499.218,2.51563,7.52854,1.74443,0.60009,0.0455,0.02384,0.009,2.7888,8.58392,1.88378,4.7525e-05,4.7525e-05,4.7525e-05
12,544.362,2.49955,7.44731,1.73925,0.6006,0.04455,0.02836,0.00974,2.80738,8.62037,1.8905,4.72775e-05,4.72775e-05,4.72775e-05
13,589.262,2.49903,7.34891,1.738,0.59332,0.04301,0.02228,0.00738,2.85577,8.96137,1.90838,4.703e-05,4.703e-05,4.703e-05
14,634.127,2.51605,7.31561,1.75122,0.59759,0.0553,0.02721,0.00957,2.8372,8.68654,1.90391,4.67825e-05,4.67825e-05,4.67825e-05
15,679.876,2.48042,7.26286,1.73107,0.60148,0.04762,0.02795,0.00963,2.84412,8.68256,1.8983,4.6535e-05,4.6535e-05,4.6535e-05
16,724.937,2.468,7.18118,1.72486,0.60118,0.04455,0.02528,0.00863,2.86846,8.86466,1.91035,4.62875e-05,4.62875e-05,4.62875e-05
17,770.243,2.466,7.31301,1.72684,0.60314,0.04916,0.02865,0.00994,2.86126,8.71244,1.91525,4.604e-05,4.604e-05,4.604e-05
18,816.677,2.42885,7.14753,1.70458,0.59993,0.04608,0.02465,0.00761,2.91137,9.0106,1.93136,4.57925e-05,4.57925e-05,4.57925e-05
19,861.589,2.44471,7.037,1.72087,0.59316,0.05837,0.02389,0.00862,2.8797,8.93619,1.90558,4.5545e-05,4.5545e-05,4.5545e-05
